,PRINTER_L31_PROD_ACT_DISP
2026-08-26 23:27:25.019,51757.0
2026-08-26 23:28:25.019,51757.0
2026-08-26 23:29:25.019,51757.0
2026-08-26 23:30:25.030,51757.0
2026-08-26 23:31:25.030,51757.0
2026-08-26 23:32:25.030,51757.0
2026-08-26 23:33:25.030,51757.0
2026-08-26 23:34:25.030,51757.0
2026-08-26 23:35:25.030,51757.0
2026-08-26 23:36:25.030,51757.0
2026-08-26 23:37:25.030,62652.0
2026-08-26 23:38:25.030,62652.0
2026-08-26 23:39:25.031,62652.0
2026-08-26 23:40:25.042,62652.0
2026-08-26 23:41:25.042,62652.0
2026-08-26 23:42:25.043,62652.0
2026-08-26 23:43:25.043,62652.0
2026-08-26 23:44:25.043,62652.0
2026-08-26 23:45:25.043,62652.0
2026-08-26 23:46:25.043,62652.0
2026-08-26 23:47:25.043,62652.0
2026-08-26 23:48:25.043,62652.0
2026-08-26 23:49:25.043,62652.0
2026-08-26 23:50:25.057,62652.0
2026-08-26 23:51:25.057,62652.0
2026-08-26 23:52:25.057,74255.0
2026-08-26 23:53:25.057,74255.0
2026-08-26 23:54:25.057,74255.0
2026-08-26 23:55:25.057,74255.0
2026-08-26 23:56:25.057,74255.0
2026-08-26 23:57:25.057,74255.0
2026-08-26 23:58:25.057,74255.0
2026-08-26 23:59:25.057,74255.0
2026-08-27 00:00:25.067,74255.0
2026-08-27 00:01:25.068,74255.0
2026-08-27 00:02:25.068,74255.0
2026-08-27 00:03:25.068,74255.0
2026-08-27 00:04:25.068,74255.0
2026-08-27 00:05:25.068,74255.0
2026-08-27 00:06:25.068,74255.0
2026-08-27 00:07:25.068,86507.0
2026-08-27 00:08:25.068,86507.0
2026-08-27 00:09:25.068,86507.0
2026-08-27 00:10:25.080,86507.0
2026-08-27 00:11:25.080,86507.0
2026-08-27 00:12:25.080,86507.0
2026-08-27 00:13:25.080,86507.0
